Geneid	A2537	A0	A10^-5	A5x10-5	A10^-4	A10^-3	A2x10^-3	A5x10^-3	B2537	B0	B10^-5	B5x10-5	B10^-4	B10^-3	B2x10^-3	B5x10^-3	C2537	C0	C10^-5	C5x10-5	C10^-4	C10^-3	C2x10^-3	C5x10^-3
AS_CDS:b0007:yaaJ:putative_transporter:cds6:-:1430:NC_000913.3	41	33	72	83	25	62	62	61	63	20	8	60	29	76	87	89	86	28	63	58	92	73	56	54
IGR:(CDS,b0007,yaaJ,putative_transporter,cds6,-,1430/CDS,b0008,talB,transaldolase_B,cds7,+,953):+:1005:NC_000913.3	50	76	100	137	72	154	151	88	89	21	9	109	88	151	175	55	89	90	116	122	94	107	83	72
AS_IGR:(CDS,b0007,yaaJ,putative_transporter,cds6,-,1430/CDS,b0008,talB,transaldolase_B,cds7,+,953):+:1005:NC_000913.3	30	11	26	32	10	12	22	60	57	0	3	35	11	25	34	315	58	4	13	39	30	25	28	44
CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3	2459	3694	5544	6825	1707	6537	6074	4330	2771	614	440	5334	2239	7962	8215	4118	3549	2853	5424	6108	5251	4799	3459	3069
AS_CDS:b0008:talB:transaldolase_B:cds7:+:953:NC_000913.3	41	45	61	67	14	68	53	49	57	6	1	77	22	77	65	106	76	34	65	49	56	61	38	40
IGR:(CDS,b0008,talB,transaldolase_B,cds7,+,953/CDS,b0009,mog,molybdochelatase_incorporating_molybdenum_into_molybdopterin,cds8,+,587):+:639:NC_000913.3	89	99	188	231	61	240	192	159	104	18	14	172	69	269	270	244	128	117	221	196	180	139	110	90
AS_IGR:(CDS,b0008,talB,transaldolase_B,cds7,+,953/CDS,b0009,mog,molybdochelatase_incorporating_molybdenum_into_molybdopterin,cds8,+,587):+:639:NC_000913.3	10	13	16	14	4	19	16	16	19	3	1	19	6	17	27	9	8	10	19	11	10	14	4	6
CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3	191	300	460	489	182	527	425	305	267	69	39	477	242	587	634	1083	327	280	495	459	485	437	262	200
AS_CDS:b0009:mog:molybdochelatase_incorporating_molybdenum_into_molybdopterin:cds8:+:587:NC_000913.3	29	22	37	61	16	46	34	34	60	3	2	57	26	37	38	44	41	26	36	35	50	43	20	33
CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3	225	194	293	502	131	342	325	288	411	22	24	387	206	332	270	267	396	109	181	293	481	318	151	275
AS_CDS:b0010:satP:succinate-acetate_transporter:cds9:-:566:NC_000913.3	52	127	183	237	50	170	168	117	103	35	18	171	64	212	219	208	159	81	233	165	195	144	119	89
IGR:(CDS,b0010,satP,succinate-acetate_transporter,cds9,-,566/CDS,b0011,yaaW,UPF0174_family_protein,cds10,-,713):+:765:NC_000913.3	6	3	8	8	3	4	5	0	6	0	1	10	0	3	7	11	4	2	3	8	8	4	6	7
AS_IGR:(CDS,b0010,satP,succinate-acetate_transporter,cds9,-,566/CDS,b0011,yaaW,UPF0174_family_protein,cds10,-,713):+:765:NC_000913.3	2	2	7	4	0	3	3	4	3	0	1	2	0	1	3	24	3	2	1	1	5	5	7	1
CDS:b0011:yaaW:UPF0174_family_protein:cds10:-:713:NC_000913.3	12	16	45	22	10	42	22	28	42	9	3	45	21	39	37	53	41	12	18	28	35	25	46	19
AS_CDS:b0011:yaaW:UPF0174_family_protein:cds10:-:713:NC_000913.3	13	13	22	18	4	19	11	10	29	1	1	18	9	26	15	19	10	7	18	15	21	21	18	15
CDS:b0013:yaaI:UPF0412_family_protein:cds11:-:404:NC_000913.3	4	3	4	3	0	4	4	6	13	0	0	6	0	11	7	9	10	4	4	5	4	11	5	6
AS_CDS:b0013:yaaI:UPF0412_family_protein:cds11:-:404:NC_000913.3	19	12	23	18	6	22	24	20	29	4	3	31	10	29	24	20	27	9	22	16	23	31	29	19
IGR:(CDS,b0013,yaaI,UPF0412_family_protein,cds11,-,404/CDS,b0014,dnaK,chaperone_Hsp702C_with_co-chaperone_DnaJ,cds12,+,1916):+:1968:NC_000913.3	781	339	478	523	261	1113	1059	860	1255	62	44	630	319	999	1027	280	1128	207	420	511	636	954	912	579
AS_IGR:(CDS,b0013,yaaI,UPF0412_family_protein,cds11,-,404/CDS,b0014,dnaK,chaperone_Hsp702C_with_co-chaperone_DnaJ,cds12,+,1916):+:1968:NC_000913.3	16	9	21	18	5	31	28	19	38	6	1	24	13	25	35	21	29	3	24	17	25	30	25	17
CDS:b0014:dnaK:chaperone_Hsp702C_with_co-chaperone_DnaJ:cds12:+:1916:NC_000913.3	15195	6535	10792	13876	3587	25099	27810	22160	23640	1192	890	10977	5777	28649	31441	20559	25461	4933	9153	11432	14149	23875	20181	19420
AS_CDS:b0014:dnaK:chaperone_Hsp702C_with_co-chaperone_DnaJ:cds12:+:1916:NC_000913.3	23	12	25	40	7	22	33	26	65	2	0	46	14	39	46	41	36	9	13	22	30	25	32	39
IGR:(CDS,b0014,dnaK,chaperone_Hsp702C_with_co-chaperone_DnaJ,cds12,+,1916/CDS,b0015,dnaJ,chaperone_Hsp402C_DnaK_co-chaperone,cds13,+,1130):+:1182:NC_000913.3	414	179	301	379	106	787	736	598	663	36	22	208	159	738	922	442	562	122	238	265	400	627	570	519
AS_IGR:(CDS,b0014,dnaK,chaperone_Hsp702C_with_co-chaperone_DnaJ,cds12,+,1916/CDS,b0015,dnaJ,chaperone_Hsp402C_DnaK_co-chaperone,cds13,+,1130):+:1182:NC_000913.3	9	2	2	7	1	3	7	3	11	0	0	6	5	7	10	6	10	1	3	4	8	7	5	4
CDS:b0015:dnaJ:chaperone_Hsp402C_DnaK_co-chaperone:cds13:+:1130:NC_000913.3	2234	1172	1711	2336	615	3639	4150	3255	3041	138	124	2073	810	3675	3545	4917	4014	675	1594	1834	2300	3814	2929	2978
AS_CDS:b0015:dnaJ:chaperone_Hsp402C_DnaK_co-chaperone:cds13:+:1130:NC_000913.3	31	8	5	24	4	11	23	16	54	1	2	29	16	26	48	65	50	4	11	15	30	30	20	18
IGR:(CDS,b0015,dnaJ,chaperone_Hsp402C_DnaK_co-chaperone,cds13,+,1130/CDS,b0016,insL1,IS186_transposase,cds14,+,1112):+:1164:NC_000913.3	152	81	125	182	45	266	285	215	185	14	6	132	51	274	225	290	227	43	120	140	192	244	186	199
AS_IGR:(CDS,b0015,dnaJ,chaperone_Hsp402C_DnaK_co-chaperone,cds13,+,1130/CDS,b0016,insL1,IS186_transposase,cds14,+,1112):+:1164:NC_000913.3	5	0	1	1	4	0	1	0	0	0	0	4	2	0	1	1	0	0	1	1	1	1	0	0
CDS:b0016:insL1:IS186_transposase:cds14:+:1112:NC_000913.3	390	284	382	571	62	756	778	613	582	34	26	442	94	830	782	1064	639	109	331	438	539	684	581	515
AS_CDS:b0016:insL1:IS186_transposase:cds14:+:1112:NC_000913.3	77	119	159	309	25	140	117	130	155	32	4	229	91	160	212	99	128	65	146	203	231	134	95	88
IGR:(CDS,b0016,insL1,IS186_transposase,cds14,+,1112/CDS,b4412,hokC,toxic_membrane_protein2C_small,cds16,-,152):+:204:NC_000913.3	47	49	63	86	7	100	126	79	67	5	3	67	16	110	117	53	79	32	55	74	88	111	53	51
AS_IGR:(CDS,b0016,insL1,IS186_transposase,cds14,+,1112/CDS,b4412,hokC,toxic_membrane_protein2C_small,cds16,-,152):+:204:NC_000913.3	17	34	58	77	18	40	44	26	26	7	6	66	31	57	40	36	25	44	64	59	56	35	25	17
CDS:b4412:hokC:toxic_membrane_protein2C_small:cds16:-:152:NC_000913.3	38	108	197	208	68	114	108	62	54	31	20	172	102	148	106	68	61	174	201	176	160	80	68	33
AS_CDS:b4412:hokC:toxic_membrane_protein2C_small:cds16:-:152:NC_000913.3	14	15	11	19	4	32	35	24	15	2	2	15	2	29	36	54	20	10	21	11	26	27	27	18
CDS:b0018:mokC:regulatory_protein_for_HokC2C_overlaps_CDS_of_hokC:cds15:-:209:NC_000913.3	47	140	268	267	90	150	136	79	67	40	27	220	130	195	135	88	80	224	264	230	205	102	86	43
AS_CDS:b0018:mokC:regulatory_protein_for_HokC2C_overlaps_CDS_of_hokC:cds15:-:209:NC_000913.3	44	57	79	112	20	104	79	64	48	8	7	78	27	95	101	81	64	31	92	64	105	86	73	69
ncRNA:sokC:rna0:+:54:NC_000913.3	72	97	166	209	33	158	108	90	80	12	10	149	50	149	155	52	110	60	176	128	181	135	110	125
AS_ncRNA:sokC:rna0:+:54:NC_000913.3	7	29	66	52	19	33	24	15	11	8	6	45	26	44	28	20	17	45	59	49	40	21	16	12
IGR:(ncRNA,sokC,rna0,+,54/CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166):+:1218:NC_000913.3	569	548	947	1085	91	829	666	681	951	86	61	973	193	882	1045	960	1046	462	1090	896	1106	882	767	916
AS_IGR:(ncRNA,sokC,rna0,+,54/CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166):+:1218:NC_000913.3	24	47	126	95	22	98	71	54	81	18	18	111	53	117	107	140	58	62	111	95	92	68	44	46
CDS:b0019:nhaA:sodium-proton_antiporter:cds17:+:1166:NC_000913.3	5623	800	1229	2903	772	5879	8306	11100	10379	139	142	3009	1822	7367	6821	8220	9685	468	1204	2121	4070	7065	6568	9962
AS_CDS:b0019:nhaA:sodium-proton_antiporter:cds17:+:1166:NC_000913.3	15	28	46	39	12	39	28	19	44	44	18	69	19	58	65	39	30	79	56	45	56	37	26	21
IGR:(CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166/CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905):+:957:NC_000913.3	155	34	50	109	34	202	228	342	319	6	7	113	75	247	229	196	291	22	48	71	138	227	193	312
AS_IGR:(CDS,b0019,nhaA,sodium-proton_antiporter,cds17,+,1166/CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905):+:957:NC_000913.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
CDS:b0020:nhaR:transcriptional_activator_of_nhaA:cds18:+:905:NC_000913.3	1376	141	248	543	82	870	1532	1887	2058	31	12	632	138	1278	1497	8214	1876	89	245	480	661	1273	1321	2292
AS_CDS:b0020:nhaR:transcriptional_activator_of_nhaA:cds18:+:905:NC_000913.3	38	90	140	207	15	103	101	79	93	14	13	241	42	180	193	56	119	66	123	161	171	128	109	84
IGR:(CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905/CDS,b0021,insB1,IS1_transposase_B,cds19,-,503):+:555:NC_000913.3	82	25	26	49	4	55	93	105	131	1	3	49	9	76	70	129	154	12	18	48	61	60	80	106
AS_IGR:(CDS,b0020,nhaR,transcriptional_activator_of_nhaA,cds18,+,905/CDS,b0021,insB1,IS1_transposase_B,cds19,-,503):+:555:NC_000913.3	4	8	10	13	1	4	3	9	11	1	5	15	3	3	8	22	9	1	5	7	16	10	4	5
CDS:b0021:insB1:IS1_transposase_B:cds19:-:503:NC_000913.3	8	20	25	42	1	22	16	7	19	1	1	17	3	35	25	31	14	1	24	35	21	18	22	14
AS_CDS:b0021:insB1:IS1_transposase_B:cds19:-:503:NC_000913.3	178	189	316	342	45	381	381	265	355	23	20	396	114	496	542	544	378	89	302	358	346	371	347	307
CDS:b0022:insA:IS1_repressor_TnpA:cds20:-:275:NC_000913.3	18	30	51	65	13	57	46	29	51	8	10	75	17	89	102	32	47	20	68	74	65	51	42	42
AS_CDS:b0022:insA:IS1_repressor_TnpA:cds20:-:275:NC_000913.3	9	16	28	20	1	26	28	16	13	7	2	28	8	38	28	64	16	7	28	23	21	23	24	18
IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:315:NC_000913.3	27	13	39	47	6	56	48	23	68	7	3	60	20	66	32	21	48	7	35	47	36	36	13	23
AS_IGR:(CDS,b0022,insA,IS1_repressor_TnpA,cds20,-,275/CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263):+:315:NC_000913.3	192	141	270	380	42	474	278	169	385	17	14	352	135	472	372	165	255	41	175	292	252	288	137	176
CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3	2664	1878	3270	4226	383	5512	3787	2040	5160	153	188	4312	1429	6360	5307	2373	3723	371	2170	3354	3067	3543	1734	1845
AS_CDS:b0023:rpsT:30S_ribosomal_subunit_protein_S20:cds21:-:263:NC_000913.3	66	37	69	87	21	85	74	44	94	4	0	91	41	116	101	86	87	20	70	74	61	72	47	56
IGR:(CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263/CDS,b0024,yaaY,uncharacterized_protein,cds22,+,218):+:270:NC_000913.3	22	5	13	17	9	21	17	24	30	0	0	32	17	29	18	19	34	9	14	25	26	18	20	26
AS_IGR:(CDS,b0023,rpsT,30S_ribosomal_subunit_protein_S20,cds21,-,263/CDS,b0024,yaaY,uncharacterized_protein,cds22,+,218):+:270:NC_000913.3	266	202	314	385	44	400	378	187	521	17	19	391	146	559	539	542	402	49	229	270	326	382	232	199
CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3	68	25	59	90	14	63	87	78	89	1	3	54	38	91	72	90	99	17	51	62	79	65	61	83
AS_CDS:b0024:yaaY:uncharacterized_protein:cds22:+:218:NC_000913.3	133	100	154	195	26	194	196	98	248	9	8	173	65	252	262	1648	197	31	114	110	164	192	126	105
CDS:b0025:ribF:bifunctional_riboflavin_kinase2FFAD_synthetase:cds23:+:941:NC_000913.3	569	580	775	926	146	990	1120	706	682	39	31	697	327	1097	1078	667	697	213	692	746	1009	1038	831	733
AS_CDS:b0025:ribF:bifunctional_riboflavin_kinase2FFAD_synthetase:cds23:+:941:NC_000913.3	3	9	13	9	0	15	6	12	9	0	3	8	5	10	4	201	5	3	11	7	7	5	5	16
CDS:b0026:ileS:isoleucyl-tRNA_synthetase:cds24:+:2816:NC_000913.3	1087	1014	1525	2259	273	2692	3052	2122	1182	73	84	1594	567	3170	3378	2154	1649	426	1575	1903	2300	2727	1967	1599
AS_CDS:b0026:ileS:isoleucyl-tRNA_synthetase:cds24:+:2816:NC_000913.3	8	11	18	8	2	19	11	10	18	1	3	9	4	7	21	24	16	17	16	15	25	16	10	12
CDS:b0027:lspA:prolipoprotein_signal_peptidase_28signal_peptidase_II29:cds25:+:494:NC_000913.3	314	369	474	758	123	836	872	633	472	30	29	559	199	1052	950	539	498	207	502	515	775	832	585	462
AS_CDS:b0027:lspA:prolipoprotein_signal_peptidase_28signal_peptidase_II29:cds25:+:494:NC_000913.3	6	9	8	8	3	6	4	6	7	0	2	19	8	8	11	5	11	5	9	13	17	9	5	11
IGR:(CDS,b0027,lspA,prolipoprotein_signal_peptidase_28signal_peptidase_II29,cds25,+,494/CDS,b0028,fkpB,FKBP-type_peptidyl-prolyl_cis-trans_isomerase_28rotamase29,cds26,+,449):+:501:NC_000913.3	113	97	130	193	26	253	195	174	148	15	7	134	59	284	271	111	152	49	140	146	182	207	158	115
AS_IGR:(CDS,b0027,lspA,prolipoprotein_signal_peptidase_28signal_peptidase_II29,cds25,+,494/CDS,b0028,fkpB,FKBP-type_peptidyl-prolyl_cis-trans_isomerase_28rotamase29,cds26,+,449):+:501:NC_000913.3	10	8	8	11	5	13	8	7	13	1	0	14	16	16	13	3	8	12	12	13	24	13	7	6
CDS:b0028:fkpB:FKBP-type_peptidyl-prolyl_cis-trans_isomerase_28rotamase29:cds26:+:449:NC_000913.3	171	109	179	223	20	325	402	270	207	3	9	156	41	463	421	593	253	43	172	170	285	382	337	232
AS_CDS:b0028:fkpB:FKBP-type_peptidyl-prolyl_cis-trans_isomerase_28rotamase29:cds26:+:449:NC_000913.3	14	11	8	13	5	17	12	10	17	0	0	11	21	20	14	16	8	8	10	17	27	11	8	7
CDS:b0029:ispH:4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase2C_4Fe-4S_protein:cds27:+:950:NC_000913.3	329	208	270	361	61	508	597	432	392	16	14	261	130	634	707	550	418	64	270	261	404	542	488	364
AS_CDS:b0029:ispH:4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase2C_4Fe-4S_protein:cds27:+:950:NC_000913.3	3	0	2	2	0	2	2	1	1	0	0	1	1	2	2	1	2	0	1	0	3	2	3	2
IGR:(CDS,b0029,ispH,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase2C_4Fe-4S_protein,cds27,+,950/CDS,b0030,rihC,ribonucleoside_hydrolase_3,cds28,+,914):+:966:NC_000913.3	5	12	10	17	5	13	12	8	12	1	1	10	10	15	16	9	8	7	11	8	12	11	10	7
AS_IGR:(CDS,b0029,ispH,4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase2C_4Fe-4S_protein,cds27,+,950/CDS,b0030,rihC,ribonucleoside_hydrolase_3,cds28,+,914):+:966:NC_000913.3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3	37	297	337	368	38	447	398	196	49	13	20	251	102	523	482	244	99	184	330	199	213	205	214	101
AS_CDS:b0030:rihC:ribonucleoside_hydrolase_3:cds28:+:914:NC_000913.3	8	10	28	17	4	19	12	10	24	5	2	36	15	21	7	20	19	7	14	17	25	10	25	12
IGR:(CDS,b0030,rihC,ribonucleoside_hydrolase_3,cds28,+,914/CDS,b0031,dapB,dihydrodipicolinate_reductase,cds29,+,821):+:873:NC_000913.3	10	19	33	25	7	43	34	21	16	4	2	22	12	46	37	23	21	12	33	23	30	21	25	15
AS_IGR:(CDS,b0030,rihC,ribonucleoside_hydrolase_3,cds28,+,914/CDS,b0031,dapB,dihydrodipicolinate_reductase,cds29,+,821):+:873:NC_000913.3	0	0	3	0	0	0	1	0	1	0	0	1	0	1	0	5	4	1	1	1	2	0	2	1
CDS:b0031:dapB:dihydrodipicolinate_reductase:cds29:+:821:NC_000913.3	464	279	424	606	144	717	651	634	771	60	26	460	287	916	732	550	775	208	489	478	671	657	428	374
AS_CDS:b0031:dapB:dihydrodipicolinate_reductase:cds29:+:821:NC_000913.3	0	3	5	7	0	4	0	0	6	3	2	5	1	8	6	9	5	6	5	6	5	3	2	0
IGR:(CDS,b0031,dapB,dihydrodipicolinate_reductase,cds29,+,821/CDS,b0032,carA,carbamoyl_phosphate_synthetase_small_subunit2C_glutamine_amidotransferase,cds30,+,1148):+:1200:NC_000913.3	124	56	99	124	33	200	179	145	246	18	10	141	84	214	202	406	189	47	107	130	148	208	152	142
AS_IGR:(CDS,b0031,dapB,dihydrodipicolinate_reductase,cds29,+,821/CDS,b0032,carA,carbamoyl_phosphate_synthetase_small_subunit2C_glutamine_amidotransferase,cds30,+,1148):+:1200:NC_000913.3	3	7	5	6	1	6	1	1	7	0	1	17	5	8	3	4	6	6	8	5	7	4	5	1
CDS:b0032:carA:carbamoyl_phosphate_synthetase_small_subunit2C_glutamine_amidotransferase:cds30:+:1148:NC_000913.3	35	15	31	23	5	193	100	56	37	23	17	31	7	187	157	58	40	60	39	27	12	152	131	59
AS_CDS:b0032:carA:carbamoyl_phosphate_synthetase_small_subunit2C_glutamine_amidotransferase:cds30:+:1148:NC_000913.3	6	10	8	23	9	12	11	9	4	7	13	18	16	10	15	16	10	26	11	20	28	14	12	6
CDS:b0033:carB:carbamoyl-phosphate_synthase_large_subunit:cds31:+:3221:NC_000913.3	67	34	92	67	8	428	329	186	76	18	9	79	19	459	327	141	129	61	93	65	78	425	341	118
AS_CDS:b0033:carB:carbamoyl-phosphate_synthase_large_subunit:cds31:+:3221:NC_000913.3	20	23	31	42	14	28	33	39	37	0	1	45	23	44	51	33	33	10	29	38	42	38	22	33
IGR:(CDS,b0033,carB,carbamoyl-phosphate_synthase_large_subunit,cds31,+,3221/CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395):+:447:NC_000913.3	6	19	26	48	8	30	25	14	12	4	7	38	5	25	19	21	13	16	22	25	36	34	12	10
AS_IGR:(CDS,b0033,carB,carbamoyl-phosphate_synthase_large_subunit,cds31,+,3221/CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395):+:447:NC_000913.3	1	0	2	3	2	1	1	2	3	1	0	2	3	1	0	3	0	3	9	1	4	1	0	3
CDS:b0034:caiF:cai_operon_transcriptional_activator:cds32:+:395:NC_000913.3	33	218	329	521	16	104	49	29	82	6	18	479	46	93	86	44	73	70	319	352	355	48	29	25
AS_CDS:b0034:caiF:cai_operon_transcriptional_activator:cds32:+:395:NC_000913.3	6	15	16	32	12	14	17	7	13	8	1	22	13	14	14	10	13	20	29	22	27	10	9	3
IGR:(CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395/CDS,b0035,caiE,stimulator_of_CaiD_and_CaiB_enzyme_activities,cds33,-,590):+:642:NC_000913.3	4	24	35	53	1	12	6	2	11	1	2	49	4	10	6	4	8	9	34	37	35	4	3	2
AS_IGR:(CDS,b0034,caiF,cai_operon_transcriptional_activator,cds32,+,395/CDS,b0035,caiE,stimulator_of_CaiD_and_CaiB_enzyme_activities,cds33,-,590):+:642:NC_000913.3	5	5	6	9	4	6	7	4	5	2	1	7	6	5	7	3	7	7	9	8	8	3	3	3
CDS:b0035:caiE:stimulator_of_CaiD_and_CaiB_enzyme_activities:cds33:-:590:NC_000913.3	31	33	42	67	23	42	52	33	30	14	4	52	41	37	50	59	45	44	67	67	57	34	18	17
AS_CDS:b0035:caiE:stimulator_of_CaiD_and_CaiB_enzyme_activities:cds33:-:590:NC_000913.3	19	104	155	229	12	59	27	10	48	4	8	211	16	64	46	72	44	41	154	174	140	19	23	14
CDS:b0036:caiD:carnitinyl-CoA_dehydratase:cds34:-:785:NC_000913.3	4	6	11	17	0	1	2	1	0	0	0	2	3	3	3	2	1	2	3	5	11	2	3	4
AS_CDS:b0036:caiD:carnitinyl-CoA_dehydratase:cds34:-:785:NC_000913.3	2	2	1	4	2	4	4	2	4	0	1	4	5	5	8	4	1	2	6	3	6	1	5	2
IGR:(CDS,b0036,caiD,carnitinyl-CoA_dehydratase,cds34,-,785/CDS,b0037,caiC,putative_crotonobetaine2Fcarnitine-CoA_ligase,cds35,-,1553):+:1605:NC_000913.3	0	2	2	1	0	2	0	0	7	0	0	1	1	1	3	0	2	0	2	1	1	0	3	1
